Xl,gamma,al,exp.al
 1.262750e-01,-3.162278e-02, 5.533000e+03, 1.196133e+04
 1.040000e-01,-3.162278e-02, 1.937000e+03, 1.050727e+04
 3.215000e-01,-3.162278e-02, 4.802200e+04, 2.150628e+04
 2.307500e-01,-3.162278e-02, 2.982900e+04, 1.759378e+04
 5.005000e-02,-3.162278e-02, 8.346000e+03, 6.310222e+03
 9.802500e-02,-3.162278e-02, 1.873000e+03, 1.009514e+04
 2.240500e-01,-3.162278e-02, 5.343000e+03, 1.727570e+04
 1.925000e-02,-3.162278e-02, 9.450000e+02, 3.100341e+03
 1.977250e-01,-3.162278e-02, 2.330900e+04, 1.597764e+04
 8.788250e-01,-3.162278e-02, 5.178300e+04, 3.747066e+04
 8.550000e-02,-3.162278e-02, 2.913000e+03, 9.195755e+03
 6.629000e-01,-3.162278e-02, 4.384100e+04, 3.233768e+04
 1.432750e-01,-3.162278e-02, 8.653000e+03, 1.299622e+04
 4.637500e-02,-3.162278e-02, 6.292000e+03, 5.972619e+03
 6.612750e-01,-3.162278e-02, 3.309100e+04, 3.229530e+04
 1.150000e-02,-3.162278e-02, 1.150000e+03, 2.076955e+03
 1.822500e-02,-3.162278e-02, 1.181000e+03, 2.972768e+03
 2.052500e-01,-3.162278e-02, 1.787200e+04, 1.635696e+04
 1.977500e-02,-3.162278e-02, 8.580000e+02, 3.164916e+03
 7.502500e-02,-3.162278e-02, 1.877000e+03, 8.401650e+03
 1.036750e-01,-3.162278e-02, 1.944400e+04, 1.048511e+04
 7.115000e-02,-3.162278e-02, 3.401000e+03, 8.096900e+03
 5.735000e-02,-3.162278e-02, 3.903000e+03, 6.955416e+03
 1.912500e-02,-3.162278e-02, 1.970000e+03, 3.084891e+03
 6.560000e-02,-3.162278e-02, 1.021000e+03, 7.648948e+03
 7.787500e-02,-3.162278e-02, 2.111000e+03, 8.621857e+03
 1.009000e-01,-3.162278e-02, 5.949000e+03, 1.029473e+04
 1.957500e-01,-3.162278e-02, 4.812000e+03, 1.587692e+04
 4.475000e-02,-3.162278e-02, 1.925000e+03, 5.820333e+03
 1.300000e-02,-3.162278e-02, 2.850000e+02, 2.286969e+03
 2.770000e-02,-3.162278e-02, 1.450000e+03, 4.085783e+03
 2.015000e-02,-3.162278e-02, 4.698000e+03, 3.210735e+03
 7.455000e-02,-3.162278e-02, 1.273700e+04, 8.364631e+03
 3.345250e-01,-3.162278e-02, 3.038300e+04, 2.201709e+04
 1.710000e-02,-3.162278e-02, 2.770000e+02, 2.830348e+03
 3.115000e-02,-3.162278e-02, 6.977000e+03, 4.460193e+03
 1.737250e-01,-3.162278e-02, 3.429900e+04, 1.471862e+04
 5.782500e-02,-3.162278e-02, 1.853000e+03, 6.996320e+03
 3.091500e-01,-3.162278e-02, 1.516100e+04, 2.101153e+04
 4.495000e-02,-3.162278e-02, 2.850000e+03, 5.839179e+03
 3.807750e-01,-3.162278e-02, 8.351000e+03, 2.374796e+04
 2.350000e-02,-3.162278e-02, 5.253000e+03, 3.609499e+03
 2.455000e-02,-3.162278e-02, 6.868000e+03, 3.730874e+03
 1.732500e-02,-3.162278e-02, 5.280000e+02, 2.859041e+03
 7.842500e-02,-3.162278e-02, 1.797000e+03, 8.663983e+03
 2.250000e-02,-3.162278e-02, 8.620000e+02, 3.492361e+03
 1.295000e-02,-3.162278e-02, 3.670000e+02, 2.280076e+03
 8.973500e-01,-3.162278e-02, 2.582400e+04, 3.787135e+04
 5.567500e-02,-3.162278e-02, 5.160000e+02, 6.810167e+03
 3.762500e-02,-3.162278e-02, 1.284600e+04, 5.128439e+03
 2.450000e-02,-3.162278e-02, 1.587000e+03, 3.725131e+03
 1.008750e-01,-3.162278e-02, 1.530000e+03, 1.029300e+04
 2.742500e-02,-3.162278e-02, 1.259000e+03, 4.055320e+03
 6.145000e-02,-3.162278e-02, 9.179000e+03, 7.304460e+03
 1.232500e-02,-3.162278e-02, 1.197000e+03, 2.193303e+03
 8.395000e-02,-3.162278e-02, 4.800000e+03, 9.080815e+03
 7.157500e-02,-3.162278e-02, 5.582000e+03, 8.130635e+03
 7.962500e-02,-3.162278e-02, 1.256400e+04, 8.755489e+03
 8.515000e-02,-3.162278e-02, 1.763000e+03, 9.169875e+03
 3.192500e-02,-3.162278e-02, 5.180000e+03, 4.542429e+03
 2.132500e-02,-3.162278e-02, 2.249000e+03, 3.352703e+03
 2.142500e-02,-3.162278e-02, 1.262000e+03, 3.364676e+03
 1.712500e-02,-3.162278e-02, 8.280000e+02, 2.833541e+03
 5.787500e-02,-3.162278e-02, 9.250000e+02, 7.000618e+03
 1.584000e-01,-3.162278e-02, 3.017000e+03, 1.387100e+04
 1.911500e-01,-3.162278e-02, 3.074000e+03, 1.564041e+04
 5.792500e-02,-3.162278e-02, 8.620000e+02, 7.004915e+03
 2.645000e-02,-3.162278e-02, 4.730000e+02, 3.946532e+03
 4.885250e-01,-3.162278e-02, 8.996000e+03, 2.736734e+04
 2.065000e-02,-3.162278e-02, 4.990000e+03, 3.271438e+03
 4.419500e-01,-3.162278e-02, 3.625400e+04, 2.586558e+04
 1.476000e-01,-3.162278e-02, 2.711000e+03, 1.325052e+04
 1.177500e-01,-3.162278e-02, 2.008600e+04, 1.141911e+04
 2.071250e-01,-3.162278e-02, 8.240000e+03, 1.645040e+04
 2.519750e-01,-3.162278e-02, 5.124000e+03, 1.857173e+04
 1.012500e-02,-3.162278e-02, 2.440000e+02, 1.878062e+03
 6.489250e-01,-3.162278e-02, 3.300100e+04, 3.197110e+04
 2.941500e-01,-3.162278e-02, 2.936000e+03, 2.039619e+04
 1.040250e-01,-3.162278e-02, 6.980000e+03, 1.050897e+04
 9.022500e-02,-3.162278e-02, 1.914000e+03, 9.541022e+03
 1.103750e-01,-3.162278e-02, 7.508000e+03, 1.093608e+04
 3.270000e-02,-3.162278e-02, 9.600000e+02, 4.624019e+03
 1.552000e-01,-3.162278e-02, 4.199000e+03, 1.368925e+04
 1.456000e-01,-3.162278e-02, 4.144000e+03, 1.313335e+04
 3.087500e-02,-3.162278e-02, 2.716000e+03, 4.430854e+03
 2.700750e-01,-3.162278e-02, 9.580000e+03, 1.937282e+04
 8.025000e-02,-3.162278e-02, 4.249400e+04, 8.802931e+03
 1.284750e-01,-3.162278e-02, 4.432000e+03, 1.209862e+04
 8.957500e-02,-3.162278e-02, 1.277000e+03, 9.493971e+03
 3.962000e-01,-3.162278e-02, 3.816000e+04, 2.429904e+04
 2.232500e-02,-3.162278e-02, 4.290000e+02, 3.471702e+03
 1.577250e-01,-3.162278e-02, 1.322500e+04, 1.383280e+04
 4.278000e-01,-3.162278e-02, 1.085300e+04, 2.539137e+04
 2.637250e-01,-3.162278e-02, 2.909100e+04, 1.909503e+04
 2.152000e-01,-3.162278e-02, 3.315000e+03, 1.684817e+04
 1.071000e-01,-3.162278e-02, 1.188000e+04, 1.071714e+04
 2.101750e-01,-3.162278e-02, 5.901000e+03, 1.660153e+04
 2.627000e-01,-3.162278e-02, 9.681000e+03, 1.904987e+04
 3.010000e-02,-3.162278e-02, 2.193000e+03, 4.347714e+03
 3.262500e-01,-3.162278e-02, 5.142000e+03, 2.169384e+04
 1.420000e-02,-3.162278e-02, 2.240000e+02, 2.450336e+03
 3.363250e-01,-3.162278e-02, 1.182900e+04, 2.208682e+04
 6.365000e-02,-3.162278e-02, 8.210000e+02, 7.488142e+03
 3.510000e-02,-3.162278e-02, 2.256000e+03, 4.872761e+03
 1.751250e-01,-3.162278e-02, 4.395000e+03, 1.479427e+04
 2.009000e-01,-3.162278e-02, 2.211400e+04, 1.613853e+04
 3.714000e-01,-3.162278e-02, 2.980800e+04, 2.340692e+04
 7.605250e-01,-3.162278e-02, 1.467800e+04, 3.477300e+04
 4.330000e-02,-3.162278e-02, 6.000000e+02, 5.682803e+03
 4.793500e-01,-3.162278e-02, 9.353000e+03, 2.707831e+04
 2.185000e-02,-3.162278e-02, 7.880000e+02, 3.415381e+03
 5.277500e-02,-3.162278e-02, 6.830000e+02, 6.554836e+03
 1.188500e-01,-3.162278e-02, 1.061600e+04, 1.149001e+04
 2.240000e-02,-3.162278e-02, 1.043000e+03, 3.480562e+03
 6.949250e-01,-3.162278e-02, 3.207100e+04, 3.315999e+04
 3.742500e-02,-3.162278e-02, 6.740000e+02, 5.108401e+03
 2.840000e-02,-3.162278e-02, 3.680000e+02, 4.162899e+03
 1.262000e-01,-3.162278e-02, 1.048700e+04, 1.195663e+04
 5.977500e-02,-3.162278e-02, 2.777000e+03, 7.162947e+03
 5.369500e-01,-3.162278e-02, 2.911200e+04, 2.884223e+04
 4.484500e-01,-3.162278e-02, 1.304100e+04, 2.608050e+04
 4.034500e-01,-3.162278e-02, 1.520200e+04, 2.455389e+04
 1.646500e-01,-3.162278e-02, 3.576000e+03, 1.422113e+04
 6.496250e-01,-3.162278e-02, 1.745900e+04, 3.198958e+04
 8.755000e-02,-3.162278e-02, 1.378000e+03, 9.346484e+03
 9.744250e-01,-3.162278e-02, 3.001700e+04, 3.948253e+04
 1.015500e-01,-3.162278e-02, 3.116000e+03, 1.033952e+04
 2.263250e-01,-3.162278e-02, 3.185000e+03, 1.738423e+04
 5.407500e-02,-3.162278e-02, 1.435000e+03, 6.669913e+03
 6.257500e-01,-3.162278e-02, 4.045600e+04, 3.135230e+04
 8.155000e-02,-3.162278e-02, 4.127000e+03, 8.901140e+03
 6.198250e-01,-3.162278e-02, 2.002100e+04, 3.119184e+04
 8.429750e-01,-3.162278e-02, 9.374000e+03, 3.667930e+04
 7.271750e-01,-3.162278e-02, 2.584800e+04, 3.396445e+04
 1.312500e-02,-3.162278e-02, 1.344000e+03, 2.304171e+03
 1.972500e-02,-3.162278e-02, 2.360000e+02, 3.158788e+03
 1.285500e-01,-3.162278e-02, 1.344900e+04, 1.210328e+04
 7.842500e-02,-3.162278e-02, 3.103000e+03, 8.663983e+03
 3.180750e-01,-3.162278e-02, 1.472500e+04, 2.137011e+04
 3.498750e-01,-3.162278e-02, 1.031100e+04, 2.260537e+04
 2.331000e-01,-3.162278e-02, 6.514000e+03, 1.770424e+04
 4.122500e-02,-3.162278e-02, 1.730000e+03, 5.483175e+03
 1.495000e-02,-3.162278e-02, 9.760000e+02, 2.550528e+03
 2.244000e-01,-3.162278e-02, 2.392500e+04, 1.729243e+04
 1.705000e-02,-3.162278e-02, 2.210000e+02, 2.823957e+03
 1.595000e-02,-3.162278e-02, 9.080000e+02, 2.681986e+03
 9.545000e-01,-3.162278e-02, 2.008600e+04, 3.907432e+04
 3.453000e-01,-3.162278e-02, 9.306000e+03, 2.243154e+04
 4.185000e-02,-3.162278e-02, 1.810000e+03, 5.543662e+03
 3.907500e-02,-3.162278e-02, 1.419880e+05, 5.272650e+03
 5.557500e-02,-3.162278e-02, 1.028400e+04, 6.801445e+03
 2.227500e-02,-3.162278e-02, 4.728000e+03, 3.465791e+03
 5.390750e-01,-3.162278e-02, 8.581800e+04, 2.890511e+04
 2.115000e-02,-3.162278e-02, 1.973300e+04, 3.331708e+03
 4.420250e-01,-3.162278e-02, 7.504300e+04, 2.586807e+04
 1.150000e-02,-3.162278e-02, 6.560000e+02, 2.076955e+03
 6.006750e-01,-3.162278e-02, 1.837900e+04, 3.066670e+04
 1.986250e-01,-3.162278e-02, 5.709500e+04, 1.602337e+04
 7.930000e-02,-3.162278e-02, 6.499000e+03, 8.730761e+03
 8.682500e-01,-3.162278e-02, 4.053100e+04, 3.723944e+04
 2.662000e-01,-3.162278e-02, 5.675300e+04, 1.920371e+04
 1.177500e-02,-3.162278e-02, 1.784000e+03, 2.115974e+03
 7.087500e-02,-3.162278e-02, 1.830500e+04, 8.075029e+03
 3.270000e-02,-3.162278e-02, 1.210000e+03, 4.624019e+03
 1.571000e-01,-3.162278e-02, 3.602000e+03, 1.379737e+04
 3.437250e-01,-3.162278e-02, 1.135400e+04, 2.237140e+04
 3.355750e-01,-3.162278e-02, 3.351400e+04, 2.205779e+04
 4.120000e-02,-3.162278e-02, 1.747000e+03, 5.480749e+03
 1.960000e-02,-3.162278e-02, 3.140000e+02, 3.143447e+03
