Xl,gamma,al
    0.000075,  -20.000000,    2.000000
    0.000350,  -20.000000,   87.000000
    0.000350,  -20.000000,   73.000000
    0.000200,  -20.000000,    2.000000
    0.000975,  -20.000000,   25.000000
    0.001475,  -20.000000,  101.000000
    0.000075,  -20.000000,    3.000000
    0.000700,  -20.000000,   31.000000
    0.000825,  -20.000000,   58.000000
    0.000050,  -20.000000,    1.000000
    0.000175,  -20.000000,   11.000000
    0.001775,  -20.000000,   73.000000
    0.004200,  -20.000000,  221.000000
    0.020050,  -20.000000, 3780.000000
    0.001300,  -20.000000,  116.000000
    0.002075,  -20.000000,   19.000000
    0.000025,  -20.000000,    1.000000
    0.000150,  -20.000000,    8.000000
    0.000400,  -20.000000,   19.000000
    0.000450,  -20.000000,    6.000000
    0.000025,  -20.000000,    1.000000
    0.000050,  -20.000000,    1.000000
    0.001225,  -20.000000,   47.000000
    0.000625,  -20.000000,  147.000000
    0.000150,  -20.000000,    9.000000
    0.000050,  -20.000000,    1.000000
    0.011675,  -20.000000,  834.000000
    0.000025,  -20.000000,    1.000000
    0.005150,  -20.000000,  206.000000
    0.000075,  -20.000000,    2.000000
    0.000150,  -20.000000,    9.000000
    0.000225,  -20.000000,   96.000000
    0.010525,  -20.000000,  234.000000
    0.001325,  -20.000000,  239.000000
    0.002525,  -20.000000,  210.000000
    0.002200,  -20.000000,   99.000000
    0.000025,  -20.000000,    1.000000
    0.000025,  -20.000000,    1.000000
    0.017625,  -20.000000,  475.000000
    0.000025,  -20.000000,    1.000000
    0.000075,  -20.000000,    3.000000
    0.000875,  -20.000000,   32.000000
    0.000025,  -20.000000,    1.000000
    0.002425,  -20.000000,  265.000000
    0.000100,  -20.000000,   14.000000
    0.000100,  -20.000000,   10.000000
    0.000050,  -20.000000,    1.000000
    0.000425,  -20.000000,   16.000000
    0.015950,  -20.000000,  666.000000
    0.000050,  -20.000000,    1.000000
    0.004750,  -20.000000, 1118.000000
    0.000100,  -20.000000,   14.000000
    0.000050,  -20.000000,    1.000000
    0.001250,  -20.000000,   19.000000
    0.000050,  -20.000000,    1.000000
    0.001250,  -20.000000,   30.000000
    0.004300,  -20.000000,  116.000000
    0.000025,  -20.000000,    1.000000
    0.000050,  -20.000000,    1.000000
    0.000125,  -20.000000,   16.000000
    0.005575,  -20.000000,  247.000000
    0.002000,  -20.000000,  123.000000
    0.000100,  -20.000000,    3.000000
    0.001850,  -20.000000,  895.000000
    0.001025,  -20.000000,   18.000000
    0.001725,  -20.000000,   49.000000
    0.000375,  -20.000000,   22.000000
    0.002475,  -20.000000,  105.000000
    0.004700,  -20.000000,  363.000000
    0.008825,  -20.000000,  462.000000
    0.002975,  -20.000000,  974.000000
    0.000125,  -20.000000,    3.000000
    0.000175,  -20.000000,   14.000000
    0.028775,  -20.000000,  324.000000
    0.002525,  -20.000000,   93.000000
    0.000050,  -20.000000,    1.000000
    0.000050,  -20.000000,    1.000000
    0.000900,  -20.000000,   58.000000
    0.000450,  -20.000000,   45.000000
    0.000475,  -20.000000,  138.000000
    0.001175,  -20.000000,   20.000000
    0.000075,  -20.000000,    2.000000
    0.010425,  -20.000000,  455.000000
    0.004300,  -20.000000,  317.000000
    0.000300,  -20.000000,   45.000000
    0.000275,  -20.000000,    5.000000
    0.010150,  -20.000000,  353.000000
    0.000650,  -20.000000,  307.000000
    0.001075,  -20.000000,   62.000000
    0.000825,  -20.000000,   14.000000
    0.000075,  -20.000000,    2.000000
