tid,gamma,trueage,freqonly
1565,2.512,-2.23841,-2.26554
1566,2.154,-2.00584,-2.13613
1567,1.848,-1.89515,-1.72712
1568,1.585,-1.57284,-1.56647
1569,1.359,-1.28729,-1.3573
1570,1.166,-1.30457,-1.23619
1571,1,-0.69511,-1.11676
1572,0.457,-0.59655,-0.3135
1573,0.152,-0.11083,-0.28553
1574,0.023,0.11513,0.07025
1575,0,0.07494,-0.10162
1576,100,-99.60189,-93.55057
1577,85.77,-86.15216,-88.59705
1578,73.564,-82.35707,-75.12143
1579,63.096,-62.91106,-62.51259
1580,54.117,-53.01505,-52.71715
1581,46.416,-48.35782,-52.96759
1582,39.811,-40.61466,-38.24265
1583,34.145,-35.9102,-35.11506
1584,29.286,-30.37495,-25.75786
1585,25.119,-24.37868,-26.43343
1586,21.544,-22.47699,-19.7491
1587,18.478,-19.10262,-20.18125
1588,15.849,-16.85842,-16.72194
1589,13.594,-14.2937,-12.62901
1590,11.659,-11.81154,-10.22187
1591,10,-9.91335,-10.41198
1592,8.577,-8.90166,-8.54534
1593,7.356,-7.29789,-7.03439
1594,6.31,-6.16547,-6.99809
1595,5.412,-5.52372,-5.57379
1596,4.642,-5.1639,-4.53003
1597,3.981,-3.70703,-4.31917
1598,3.415,-3.2345,-3.89343
1599,2.929,-2.71796,-2.9797
1600,2.512,-2.58885,-2.36079
1601,2.154,-2.0096,-2.20001
1602,1.848,-1.58955,-1.97664
1603,1.585,-1.39076,-1.55844
1604,1.359,-1.61794,-1.31646
1605,1.166,-0.85407,-1.03019
1606,1,-1.27142,-1.02391
1607,0.457,-0.58916,-0.52915
1608,0.152,-0.15692,-0.23044
1609,0.023,0.17269,-0.13825
1610,0,0.01574,0.11213
1611,100,-98.16709,-87.12118
1612,85.77,-82.72551,-88.8214
1613,73.564,-69.3456,-73.2302
1614,63.096,-64.91262,-61.6612
1615,54.117,-53.2272,-62.15233
1616,46.416,-47.6249,-47.68158
1617,39.811,-45.72726,-36.81127
1618,34.145,-34.65947,-29.89277
1619,29.286,-28.41492,-32.26034
1620,25.119,-25.27957,-23.08473
1621,21.544,-20.16099,-18.51341
1622,18.478,-18.72053,-18.47442
1623,15.849,-15.71756,-16.8681
1624,13.594,-14.1115,-15.34071
1625,11.659,-12.37176,-11.7489
1626,10,-10.28226,-9.18217
1627,8.577,-8.52904,-7.60234
1628,7.356,-7.47282,-7.50024
1629,6.31,-6.14189,-6.1884
1630,5.412,-5.27443,-5.10203
1631,4.642,-4.57897,-4.19262
1632,3.981,-4.11418,-4.15223
1633,3.415,-3.31439,-3.64976
1634,2.929,-3.27428,-3.01174
1635,2.512,-2.3074,-2.98317
1636,2.154,-2.3259,-2.34715
1637,1.848,-1.91166,-1.59993
1638,1.585,-1.61726,-1.40762
1639,1.359,-1.18889,-1.36223
1640,1.166,-1.24613,-1.30787
1641,1,-0.97492,-1.18251
1642,0.457,-0.53322,-0.35354
1643,0.152,-0.09624,-0.32694
1644,0.023,-0.02701,0.0728
1645,0,0.02761,-0.08436
1646,100,-101.70941,-85.41622
1647,85.77,-91.07574,-91.00195
1648,73.564,-73.89078,-66.38025
1649,63.096,-63.08115,-62.52716
1650,54.117,-53.59101,-57.64413
1651,46.416,-41.39098,-46.46139
1652,39.811,-38.63683,-38.87397
1653,34.145,-35.53965,-29.74351
1654,29.286,-31.06663,-27.43059
1655,25.119,-25.74265,-22.08922
1656,21.544,-21.41209,-21.20898
1657,18.478,-18.62615,-19.47738
1658,15.849,-14.37641,-17.29362
1659,13.594,-13.59608,-13.32808
1660,11.659,-12.4336,-11.2917
1661,10,-9.87251,-9.6116
1662,8.577,-8.39525,-7.9276
1663,7.356,-7.4775,-6.91613
1664,6.31,-6.2102,-6.44506
1665,5.412,-5.31337,-6.10196
1666,4.642,-4.69459,-4.7576
1667,3.981,-3.64587,-3.87555
1668,3.415,-3.25816,-3.48374
1669,2.929,-2.67387,-2.98705
1670,2.512,-2.35797,-2.65048
1671,2.154,-2.53276,-2.16444
1672,1.848,-1.99332,-1.53007
1673,1.585,-1.53073,-1.93516
1674,1.359,-1.18278,-1.72807
1675,1.166,-0.95877,-0.98174
1676,1,-0.87274,-1.05008
1677,0.457,-0.57937,-0.76924
1678,0.152,-0.28976,-0.05323
1679,0.023,-0.0767,-0.02727
1680,0,-0.27948,0.0226
1681,100,-106.4247,-96.2036
1682,85.77,-86.53904,-85.42478
1683,73.564,-74.11978,-75.68968
