tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
894,2.371,-2.22655,-2.31654,-2.59124,-2.19904,-2.83249
895,1.778,-2.06224,-1.95435,-2.38563,-2.05634,-2.60792
896,1.334,-1.46589,-1.62758,-1.90397,-1.47456,-2.08534
897,1,-1.30656,-1.33758,-1.63115,-1.40324,-1.85714
898,0.332,-0.74308,-0.74273,-1.009,-0.8098,-1.18042
899,0.005,-0.14097,0.02449,-0.26429,-0.19652,-0.37204
900,0,-47.50367,-14.28495,-37.06026,-68.12488,-40.73899
901,100,-104.22289,-45.67672,-101.15902,-105.03675,-125.41687
902,74.989,-77.35681,-35.32184,-77.21588,-74.40433,-95.71671
903,56.423,-45.65009,-24.90668,-45.01796,-48.62699,-55.44755
904,42.17,-39.12041,-25.09935,-37.19324,-35.95992,-45.29316
905,31.623,-31.09703,-21.44412,-32.40956,-30.33667,-39.01243
906,23.714,-23.27381,-17.46157,-25.41223,-23.59995,-30.37009
907,17.783,-18.37719,-13.70445,-19.81132,-19.281,-23.41321
908,13.335,-12.03893,-10.40776,-13.93632,-12.66605,-16.28888
909,10,-9.88356,-8.82777,-11.70842,-11.17828,-13.61058
910,7.499,-7.70554,-6.9586,-8.28524,-7.12665,-9.26896
911,5.623,-5.27495,-4.56584,-5.67739,-5.43478,-6.36836
912,4.217,-3.34982,-3.58115,-4.19235,-3.65263,-4.5728
913,3.162,-3.10033,-3.10801,-3.55033,-2.91976,-3.80751
914,2.371,-2.43618,-2.70126,-2.96076,-2.50047,-3.20604
915,1.778,-1.79742,-1.91965,-2.27181,-1.85494,-2.51237
916,1.334,-1.80119,-1.73344,-2.07979,-1.72626,-2.29762
917,1,-1.2152,-1.1938,-1.48707,-1.16125,-1.66749
918,0.332,-0.64243,-0.71406,-0.91875,-0.68812,-1.08779
919,0.005,-0.26813,-0.10325,-0.44445,-0.34458,-0.55866
920,0,-58.45036,-29.16349,-49.03442,-64.13788,-56.10059
921,100,-92.10019,-46.48043,-96.39502,-93.64832,-118.24215
922,74.989,-68.60025,-38.36927,-73.42655,-69.34382,-88.41109
923,56.423,-59.25938,-31.67782,-63.66516,-67.04225,-80.06581
924,42.17,-40.65551,-29.38198,-50.77291,-48.24314,-60.60637
925,31.623,-29.40979,-21.77773,-37.78417,-39.44568,-47.08539
926,23.714,-19.5074,-14.21776,-20.58963,-20.78292,-24.17083
927,17.783,-16.85054,-12.0248,-16.46131,-14.99355,-18.98478
928,13.335,-12.33665,-9.32177,-12.65343,-12.16703,-14.89113
929,10,-10.18107,-8.3512,-10.82751,-9.71595,-12.44982
930,7.499,-7.3962,-6.79021,-8.69957,-7.93743,-9.81292
931,5.623,-5.69728,-5.27329,-6.49441,-5.94083,-7.2736
932,4.217,-3.66923,-3.42648,-4.33756,-3.58533,-4.78893
933,3.162,-3.28282,-3.51103,-4.23836,-3.80752,-4.69472
934,2.371,-2.24348,-2.4137,-2.75526,-2.25808,-2.99706
935,1.778,-2.12325,-2.31836,-2.64123,-2.28518,-2.90429
936,1.334,-1.23803,-1.06156,-1.68222,-1.30975,-1.85926
937,1,-1.15373,-1.17041,-1.44868,-1.25392,-1.70615
938,0.332,-0.44037,-0.41936,-0.70668,-0.5062,-0.86325
939,0.005,-0.34507,-0.03139,-0.49788,-0.42668,-0.63033
940,0,-4.48564,-7.7816,-9.3591,-7.86446,-10.53321
941,100,-104.00866,-45.03815,-102.98168,-109.33278,-131.13655
942,74.989,-77.34952,-41.02827,-78.53015,-80.94856,-97.56484
943,56.423,-55.4019,-29.66716,-54.72182,-50.81667,-66.58571
944,42.17,-39.79076,-23.01269,-38.94282,-38.4393,-48.15969
945,31.623,-28.20658,-17.98857,-27.67043,-27.78181,-34.26162
946,23.714,-23.83569,-15.38516,-24.05869,-23.5067,-28.68991
947,17.783,-16.55607,-13.62719,-18.42138,-18.06946,-21.5038
948,13.335,-12.25974,-9.71231,-13.81655,-13.85978,-16.25947
949,10,-10.21556,-8.88675,-11.68123,-10.47067,-13.57184
950,7.499,-7.85722,-6.60743,-8.98958,-8.1944,-10.26369
951,5.623,-5.7059,-4.88402,-5.96055,-5.5366,-6.64616
952,4.217,-4.39495,-4.20809,-5.09589,-4.26358,-5.59963
953,3.162,-3.15958,-3.08636,-3.51681,-3.16786,-3.85747
954,2.371,-2.3151,-2.37365,-2.80946,-2.37255,-3.08032
955,1.778,-1.79284,-1.89743,-2.10274,-1.75479,-2.31609
956,1.334,-1.30395,-1.37828,-1.60869,-1.27183,-1.82881
957,1,-1.03527,-0.90005,-1.28808,-0.98866,-1.46982
958,0.332,-0.34838,-0.19,-0.54891,-0.35297,-0.68808
959,0.005,-0.05735,-0.02337,-0.29678,-0.17501,-0.40062
960,0,1.14044,-9.51673,-12.09699,-9.61414,-13.52917
961,100,NaN,NaN,NaN,NaN,NaN
962,74.989,-76.48967,-29.94653,-75.4324,-76.93544,-93.60289
963,56.423,-66.37179,-36.67527,-67.02819,-72.00445,-82.33904
964,42.17,-39.95421,-24.39365,-41.81174,-49.81976,-53.44947
965,31.623,-30.92572,-21.97846,-32.11821,-31.76231,-38.77664
966,23.714,-20.11885,-14.64455,-20.89172,-20.46934,-24.91936
967,17.783,-13.673,-11.28337,-14.90743,-14.11851,-17.28302
968,13.335,-13.51578,-10.41189,-15.40302,-14.67627,-17.81655
969,10,-8.95542,-8.35102,-10.56516,-9.60314,-12.03641
970,7.499,-7.34041,-6.74473,-8.47884,-7.37613,-9.62809
971,5.623,-5.56618,-5.74809,-6.79803,-5.92051,-7.51382
972,4.217,-3.46017,-3.59445,-4.24932,-3.68456,-4.67707
973,3.162,-3.44027,-3.13576,-3.89294,-3.54509,-4.34363
974,2.371,-2.76977,-2.74643,-3.12602,-2.75256,-3.42476
975,1.778,-1.841,-1.94819,-2.27938,-1.99371,-2.52266
976,1.334,-1.18676,-1.4121,-1.62405,-1.27083,-1.80878
977,1,-1.02608,-1.03107,-1.35625,-1.10464,-1.55113
978,0.332,-0.45293,-0.25095,-0.63639,-0.46869,-0.75206
979,0.005,0.04765,0.28793,0.03651,0.00173,0.02664
980,0,-52.78602,-34.30706,-52.06,-39.20378,-62.39708
981,100,NaN,NaN,NaN,NaN,NaN
982,74.989,-75.28002,-37.09952,-71.12751,-75.51981,-89.18751
983,56.423,-61.10526,-37.0115,-66.14599,-66.03813,-81.79269
984,42.17,-39.06313,-23.41356,-40.48397,-39.02585,-49.18723
985,31.623,-28.50959,-16.64654,-31.39651,-32.88479,-38.92616
986,23.714,-22.72875,-15.43338,-24.18078,-23.40638,-29.1277
987,17.783,-18.6953,-14.34528,-20.61083,-21.14952,-24.12419
988,13.335,-12.59421,-9.7233,-13.15833,-12.2485,-15.26297
989,10,-9.83928,-8.33824,-10.33665,-9.28587,-11.79965
990,7.499,-7.61802,-6.86903,-8.72197,-7.80072,-9.97366
991,5.623,-5.75211,-5.47056,-6.48843,-5.47844,-7.18975
992,4.217,-4.0175,-4.20677,-5.1128,-4.44438,-5.71449
993,3.162,-3.04669,-3.13168,-3.54291,-3.02526,-3.83907
994,2.371,-2.39466,-2.4328,-2.80699,-2.40969,-3.05369
995,1.778,-1.85932,-1.93207,-2.40027,-2.02305,-2.6457
996,1.334,-1.61967,-1.63626,-1.98555,-1.68746,-2.22926
997,1,-0.94246,-0.82258,-1.25462,-0.97985,-1.41775
998,0.332,-0.10232,0.14544,-0.23062,-0.16154,-0.31763
999,0.005,0.07129,0.31985,0.04798,0.00252,0.02794
1000,0,-15.76817,-10.90375,-13.3338,-10.18063,-14.83626
