tid,gamma,trueage,freqonly
581,4.642,-4.78606,-4.65054
582,3.981,-4.42546,-4.13831
583,3.415,-3.59228,-3.2707
584,2.929,-3.38149,-3.07413
585,2.512,-3.02718,-2.53317
586,2.154,-2.31207,-1.90709
587,1.848,-1.75943,-1.37549
588,1.585,-1.38549,-1.12516
589,1.359,-1.14635,-0.88881
590,1.166,-0.61473,-0.51557
591,1,-0.36815,-0.33794
592,0.457,1.58974,0.49625
593,0.152,1.16679,0.37834
594,0.023,5.03479,1.2877
595,0,1.6,0.44163
596,100,-115.41689,-104.9985
597,85.77,-92.92824,-91.93021
598,73.564,-75.24711,-75.9789
599,63.096,-63.14194,-64.39141
600,54.117,-54.32851,-57.33135
601,46.416,-44.42732,-47.36603
602,39.811,-37.54184,-41.2868
603,34.145,-32.0384,-37.00186
604,29.286,-25.58018,-29.63805
605,25.119,-22.60084,-26.81738
606,21.544,-18.32169,-22.09251
607,18.478,-16.58251,-19.54695
608,15.849,-13.87261,-16.55163
609,13.594,-11.80089,-13.9241
610,11.659,-10.83758,-12.50525
611,10,-9.32691,-10.78363
612,8.577,-7.96831,-8.88644
613,7.356,-7.47957,-7.97177
614,6.31,-6.26719,-6.7177
615,5.412,-5.567,-5.55109
616,4.642,-4.87343,-4.73829
617,3.981,-4.04542,-3.62075
618,3.415,-3.69753,-3.24813
619,2.929,-3.67479,-3.26142
620,2.512,-2.32031,-1.8159
621,2.154,-2.63237,-2.19502
622,1.848,-1.79667,-1.34919
623,1.585,-1.90504,-1.4798
624,1.359,-1.001,-0.77766
625,1.166,-1.53746,-1.17242
626,1,-0.73594,-0.57223
627,0.457,0.82115,0.25748
628,0.152,1.43531,0.48292
629,0.023,4.43809,0.69866
630,0,5.38037,0.81149
631,100,-118.27273,-107.9051
632,85.77,-93.81436,-92.86549
633,73.564,-78.03827,-77.69757
634,63.096,-65.97192,-68.15044
635,54.117,-53.09167,-54.52042
636,46.416,-43.5929,-46.68226
637,39.811,-36.08937,-40.22792
638,34.145,-30.27059,-34.62871
639,29.286,-26.02108,-28.9065
640,25.119,-22.15273,-26.88337
641,21.544,-19.58533,-23.23949
642,18.478,-15.76885,-19.182
643,15.849,-14.46292,-17.19918
644,13.594,-11.85309,-14.2986
645,11.659,-10.66565,-12.38531
646,10,-9.51851,-10.87628
647,8.577,-8.49271,-9.51158
648,7.356,-7.27658,-7.85879
649,6.31,-6.28102,-6.41674
650,5.412,-5.55149,-5.50995
651,4.642,-4.72044,-4.61309
652,3.981,-4.20548,-4.02552
653,3.415,-3.47689,-3.16611
654,2.929,-3.00338,-2.80731
655,2.512,-2.22435,-1.84448
656,2.154,-2.10082,-1.74091
657,1.848,-1.9471,-1.60611
658,1.585,-1.39593,-1.06959
659,1.359,-1.71058,-1.35916
660,1.166,-0.83281,-0.66828
661,1,-0.88026,-0.64187
662,0.457,0.25515,0.02722
663,0.152,3.75559,0.8742
664,0.023,1.9398,0.57746
665,0,3.28531,0.54465
666,100,-107.99212,-100.48921
667,85.77,-94.90544,-91.11454
668,73.564,-80.79715,-79.57077
669,63.096,-65.04486,-67.04714
670,54.117,-51.44198,-54.84314
671,46.416,-41.31581,-45.12988
672,39.811,-38.82141,-42.62001
673,34.145,-29.46926,-34.1583
674,29.286,-25.45557,-30.02913
675,25.119,-23.13457,-26.47599
676,21.544,-18.42571,-22.69176
677,18.478,-16.29113,-19.76118
678,15.849,-13.19908,-16.06899
679,13.594,-12.65488,-15.11885
680,11.659,-10.88442,-12.65428
681,10,-9.63408,-11.06732
682,8.577,-8.37512,-9.32834
683,7.356,-7.05629,-7.35247
684,6.31,-6.48675,-6.82119
685,5.412,-5.71416,-5.67768
686,4.642,-4.66747,-4.58534
687,3.981,-4.22995,-4.19875
688,3.415,-3.8075,-3.4195
689,2.929,-3.04381,-2.64744
690,2.512,-2.7277,-2.39452
691,2.154,-2.43763,-1.99462
692,1.848,-1.51189,-1.14963
693,1.585,-0.81032,-0.61837
694,1.359,-1.12457,-0.82296
695,1.166,-0.85063,-0.67575
696,1,-0.90674,-0.70481
697,0.457,0.8543,0.26122
698,0.152,0.78885,0.26338
699,0.023,4.13505,0.79928
700,0,3.16026,0.93009
