sim,freq,est
30,0.3,0.000521458222167168
30,0.3,0.000562705556986011
30,0.3,0.00060777618415293
30,0.3,0.000532151221885212
30,0.3,0.000584819793071328
30,0.3,0.00050533205013986
30,0.3,0.000492161447168789
30,0.3,0.000600321718853416
30,0.3,0.00053668419370981
30,0.3,0.000491227906050351
30,0.3,0.000528923451385559
30,0.3,NaN
30,0.3,0.000522496106990155
30,0.3,0.000520852271860974
30,0.3,0.000507520720535883
30,0.3,0.00050714843508397
30,0.3,0.000544765154897073
30,0.3,0.000575036464424393
30,0.3,0.000569411082340341
30,0.3,0.000514610763509205
30,0.3,0.000518275815292945
30,0.3,0.000488761756374138
30,0.3,0.000517890382469998
30,0.6,0.000813095683357025
30,0.6,0.000595797193547721
30,0.6,0.000655339436688118
30,0.6,0.000908537629729098
30,0.6,NaN
30,0.6,0.000610962431687965
30,0.6,NaN
30,0.6,0.000708680647247323
30,0.6,0.000783693222684094
30,0.6,0.000650529147185606
30,0.6,NaN
30,0.6,NaN
30,0.6,0.000712649009956292
30,0.6,NaN
30,0.6,0.000729264674379924
30,0.6,0.000681672394970919
30,0.6,NaN
30,0.6,0.000732830652822665
30,0.6,NaN
30,0.6,NaN
30,0.6,NaN
30,0.6,NaN
30,0.6,NaN
30,0.6,NaN
30,0.6,NaN
30,0.6,NaN
30,0.6,0.000716078515181697
30,0.6,0.00059558852757731
30,0.6,0.000706471793899223
30,0.6,0.000744098406625598
30,0.6,0.000687150161165019
30,0.6,0.000746731045055571
30,0.6,0.000679520420522795
30,0.6,0.00074690990260598
30,0.6,0.000735540879707627
30,0.6,0.000764551533378871
30,0.6,NaN
30,0.6,0.000865103812461461
30,0.6,0.000746231939484367
30,0.6,0.000910124475424041
30,0.6,0.00105913416291944
30,0.6,0.000737994508638969
30,0.6,0.000656922231108599
30,0.6,0.000694008339526503
30,0.6,0.000614383169975605
30,0.6,0.000739208241284255
30,0.6,0.000653737066408136
30,0.6,0.000549810834905918
30,0.6,NaN
30,0.6,0.000688405973501081
30,0.6,NaN
30,0.6,0.000651804218797165
30,0.6,0.000533741111034681
30,0.6,0.000736110387987754
30,0.6,0.000713409342313781
30,0.6,0.000577916538114293
30,0.6,0.000684017442050161
30,0.6,0.000777429419147951
30,0.6,0.000731245002401697
30,0.6,NaN
30,0.6,0.000767943510979908
30,0.6,NaN
30,0.6,0.000597834350608851
30,0.6,0.000902270860923775
30,0.6,0.000890086606811225
30,0.6,0.000809648055029134
30,0.6,0.000823041324685096
30,0.6,0.000697428983618599
30,0.6,NaN
30,0.6,0.000688074615866477
30,0.6,0.000689591141566567
30,0.6,0.000707196443134589
30,0.6,0.000674435883344112
30,0.6,0.000712519800095392
30,0.6,0.000756611280566885
30,0.6,0.000722553279816057
30,0.6,0.000659885669423885
30,0.6,0.000772539256484918
30,0.6,0.000654150663996559
30,0.6,NaN
30,0.6,0.000812087744651488
30,0.6,NaN
30,0.6,0.000927750897589503
30,0.6,0.000644096599270735
30,0.6,NaN
30,0.6,0.000584851692667909
30,0.6,0.000613386983751581
30,0.6,0.000841707619753947
30,0.6,0.0006184678888194
30,0.6,0.000924599425114108
30,0.6,0.00063007343025789
30,0.6,0.000657081623099124
30,0.6,0.000784542610329699
30,0.6,0.000617075534146061
30,0.6,NaN
30,0.6,0.000640263010516791
30,0.6,0.000773430356376327
30,0.6,0.00069988956863393
30,0.6,0.000785300663108335
30,0.6,0.000721905456759634
100,0.3,0.00187336310639678
100,0.3,0.00195380498181013
100,0.3,NaN
100,0.3,NaN
100,0.3,0.00195742420330524
100,0.3,0.0019018063937387
100,0.3,NaN
100,0.3,0.00227291843617599
100,0.3,0.00204326237258611
100,0.3,0.00177670891834669
100,0.3,0.00205802981523912
100,0.3,0.00204118145672331
100,0.3,NaN
100,0.3,0.00173958415082952
100,0.3,0.00223467938602719
100,0.3,0.00223926277761158
100,0.3,0.00181988195816594
100,0.3,0.00207454065695099
100,0.3,0.00205418230780082
100,0.3,NaN
100,0.3,NaN
100,0.3,0.00193109303981542
100,0.3,0.00193691849176733
100,0.3,0.0023420136058902
100,0.3,NaN
100,0.3,0.0021357923852142
100,0.3,NaN
100,0.3,0.00216254584236627
100,0.3,0.00210262036777574
100,0.3,0.00181971177098826
100,0.3,0.00189536083835365
100,0.3,0.00203587800082584
100,0.3,NaN
100,0.3,NaN
100,0.3,NaN
100,0.3,NaN
100,0.3,0.00198934207067374
100,0.3,NaN
100,0.3,NaN
100,0.3,0.00219036399190571
100,0.3,0.00216920220096004
100,0.3,0.00185724047740079
100,0.3,NaN
100,0.3,0.00195379810136994
100,0.3,0.00202860517712633
100,0.3,0.00226151281547025
100,0.3,0.00195184580197341
100,0.3,0.00208526153587598
100,0.3,0.00219415000509377
100,0.3,0.00193227567469713
100,0.3,0.00171859300915103
100,0.3,NaN
100,0.3,0.00215998680374935
