tid,gamma,trueage,relmid,impsamp,freqonly,simpavg
176,1.334,-1.03792,-1.03003,-1.51119,-1.22627,-1.73771
177,1,-1.15489,-1.61375,-1.75791,-1.34908,-1.95399
178,0.332,-0.06229,0.3027,-0.06899,-0.11776,-0.11748
179,0.005,-0.12563,-0.11082,-0.34339,-0.18946,-0.52717
180,0,0.0153,-3.41497,-3.96513,-2.841,-4.18657
181,100,-101.03246,-17.63231,-54.63093,-105.69488,-54.54927
182,74.989,-65.72856,-45.2809,-60.37617,-107.97179,-58.6991
183,56.423,-57.83716,-39.0351,-46.79774,-54.39229,-46.42426
184,42.17,-33.37714,-11.98788,-34.41814,-33.02174,-34.91693
185,31.623,-40.27681,-18.84868,-27.71261,-37.519,-28.89008
186,23.714,-18.13008,-12.02194,-18.16517,-18.24021,-19.60904
187,17.783,-21.02914,-12.92633,-18.64772,-19.55877,-19.80828
188,13.335,-11.10109,-8.18493,-10.83504,-10.04454,-11.76009
189,10,-10.50309,-8.24716,-10.69781,-9.34941,-11.45358
190,7.499,-7.18232,-6.77409,-8.70105,-7.74573,-9.37607
191,5.623,-6.42461,-5.59294,-7.34598,-6.57269,-7.98204
192,4.217,-4.21393,-3.75837,-4.73247,-3.92523,-5.0568
193,3.162,-3.48928,-3.61796,-4.2715,-3.60311,-4.59691
194,2.371,-2.16235,-2.37493,-2.84825,-2.40573,-3.16493
195,1.778,-1.79741,-1.87605,-2.39634,-2.04927,-2.70792
196,1.334,-1.71702,-1.90235,-2.11282,-1.83816,-2.33726
197,1,-0.70963,-0.79326,-1.17603,-0.8265,-1.38823
198,0.332,-0.18255,-0.30535,-0.49288,-0.23576,-0.67405
199,0.005,-0.21798,-0.14172,-0.41343,-0.27633,-0.57192
200,0,-0.14286,-3.17981,-3.61386,-2.79052,-3.85732
201,100,,,,,
202,74.989,-62.7319,-32.73586,-43.08343,-58.83985,-42.10794
203,56.423,-63.52847,-21.28069,-46.75571,-52.81831,-46.5125
204,42.17,-44.21822,-30.55241,-43.08458,-46.94692,-43.16106
205,31.623,-39.2256,-22.0083,-35.45414,-40.25116,-36.09788
206,23.714,-20.10151,-14.08504,-18.30869,-17.18341,-19.37241
207,17.783,-17.47677,-11.17702,-16.53918,-13.09148,-17.42453
208,13.335,-10.6634,-6.95495,-10.3499,-10.21259,-11.27903
209,10,-9.27878,-8.73911,-11.57316,-10.0179,-12.40605
210,7.499,-7.22201,-5.94247,-7.59465,-6.59594,-8.14115
211,5.623,-5.43536,-5.06719,-6.10344,-5.18519,-6.56425
212,4.217,-4.33446,-4.69608,-5.8739,-4.83996,-6.33355
213,3.162,-2.64292,-3.07264,-3.57379,-2.95682,-3.86636
214,2.371,-2.14681,-2.28321,-2.65911,-2.09923,-2.91439
215,1.778,-1.67337,-1.51029,-1.94838,-1.53826,-2.17528
216,1.334,-1.22442,-1.56438,-1.71284,-1.41674,-1.90647
217,1,-0.83203,-0.87905,-1.19416,-0.8782,-1.37483
218,0.332,-0.20943,-0.15148,-0.35954,-0.27879,-0.55142
219,0.005,0.56418,1.00814,2.53377,0.3461,3.74353
220,0,-0.55274,-5.70747,-6.97362,-5.37978,-7.4415
221,100,-114.70666,-30.16805,-59.94066,-478.77761,-57.49121
222,74.989,-103.45982,-22.91631,-52.73745,-89.37533,-51.8711
223,56.423,-43.30486,-22.63804,-37.82239,-47.69642,-38.03297
224,42.17,-41.29051,-18.20269,-27.96268,-40.98062,-29.02806
225,31.623,-29.4653,-15.52682,-30.53998,-39.65298,-31.48227
226,23.714,-24.7778,-13.33544,-22.63333,-30.14361,-24.02694
227,17.783,-11.74931,-9.4776,-13.51165,-13.99495,-14.51966
228,13.335,-13.09818,-8.76448,-14.42675,-14.67276,-15.8671
229,10,-8.1907,-8.8077,-10.63823,-8.30541,-11.42626
230,7.499,-7.16717,-6.28451,-8.25161,-7.97212,-8.96728
231,5.623,-5.59552,-5.25918,-6.89299,-5.88686,-7.4988
232,4.217,-4.15711,-3.83737,-4.74884,-4.00185,-5.13912
233,3.162,-2.92051,-2.96026,-3.42252,-2.95921,-3.7348
234,2.371,-2.24325,-1.97463,-2.57585,-2.10643,-2.81389
235,1.778,-1.50536,-1.70364,-2.09621,-1.64752,-2.30944
236,1.334,-1.32751,-1.32794,-1.70927,-1.27071,-1.9248
237,1,-0.99341,-0.90604,-1.34379,-1.01076,-1.52772
238,0.332,-0.16321,-0.04886,-0.38008,-0.23864,-0.55487
239,0.005,-0.28894,-0.05672,-0.53813,-0.34467,-0.69891
240,0,0.23555,-6.22481,-7.20876,-5.52673,-7.6013
241,100,,,,,
242,74.989,,,,,
243,56.423,-49.61291,-25.77554,-40.58787,-63.78654,-40.87156
244,42.17,-55.48795,-34.34138,-47.33761,-69.19943,-46.65981
245,31.623,-37.06479,-14.25101,-30.33239,-43.04641,-31.83149
246,23.714,-28.05839,-19.35473,-28.14897,-29.46279,-29.04128
247,17.783,-18.97509,-10.8787,-18.76788,-19.95823,-20.22127
248,13.335,-11.26618,-7.07665,-12.12654,-11.54229,-13.07535
249,10,-9.23215,-6.15159,-9.94614,-9.41335,-10.79058
250,7.499,-6.49486,-6.10073,-7.67351,-6.73377,-8.32648
251,5.623,-5.66076,-5.30845,-6.88794,-6.03985,-7.51539
252,4.217,-3.7524,-3.90719,-4.6425,-4.00977,-5.0169
253,3.162,-2.4953,-2.75091,-3.22882,-2.69669,-3.51121
254,2.371,-1.92007,-2.2581,-2.72398,-2.16069,-2.97738
255,1.778,-1.87942,-1.97103,-2.41573,-2.05376,-2.61245
256,1.334,-1.31738,-1.32343,-1.74815,-1.42526,-1.94201
257,1,-1.11564,-1.13506,-1.45745,-1.16756,-1.64237
258,0.332,-0.11959,-0.11777,-0.31278,-0.16472,-0.47983
259,0.005,0.08332,0.32696,0.17416,0.01116,3.67773
260,0,-0.49311,-6.41412,-7.66389,-5.59119,-8.03432
261,100,-75.6012,-29.09956,-34.86153,-30.77779,-35.42302
262,74.989,-100.38096,-14.75606,-63.96816,-181.0707,-62.36112
263,56.423,-43.20788,-21.91632,-41.49309,-63.82841,-42.34149
264,42.17,-34.7453,-19.68504,-37.36931,-43.63211,-37.93589
265,31.623,-27.34528,-16.83066,-24.20699,-28.27964,-25.39366
266,23.714,-26.59773,-11.31103,-27.01081,-29.72978,-28.15212
267,17.783,-16.01387,-12.54575,-16.46969,-16.58424,-17.52784
268,13.335,-10.87673,-9.12684,-13.67433,-12.47585,-14.65958
269,10,-8.2829,-6.9502,-9.5013,-9.05258,-10.28729
270,7.499,-6.76172,-5.7233,-7.12265,-6.45058,-7.74814
271,5.623,-4.56168,-4.71053,-6.01793,-5.21238,-6.48961
272,4.217,-4.40853,-4.33831,-5.24146,-4.63991,-5.66592
273,3.162,-2.37832,-2.3135,-2.78753,-2.3045,-3.05759
274,2.371,-2.57629,-2.74877,-3.19689,-2.77594,-3.46753
275,1.778,-1.74204,-1.76521,-2.18122,-1.71569,-2.40201
276,1.334,-0.95449,-1.1255,-1.39075,-1.05572,-1.59383
277,1,-1.00034,-1.24256,-1.4329,-1.05291,-1.59361
278,0.332,-0.59373,-0.51897,-0.9337,-0.66213,-1.13312
279,0.005,0.0669,0.40535,0.46611,0.0067,3.495
280,0,1.68682,-4.82887,-6.78029,-4.6034,-7.13421
281,100,-98.84537,-49.18728,-61.84632,-46.87812,-59.65328
282,74.989,-97.0791,-48.77213,-73.32162,-113.76651,-68.776
283,56.423,-44.0298,-31.86814,-46.54766,-41.69326,-46.16105
284,42.17,-43.94339,-26.05889,-43.11084,-73.26088,-42.99454
