Xl,gamma,al
 4.000000e-03,-6.812921e-02, 1.300500e+04
 8.400000e-03,-4.641589e-02, 1.708600e+04
 1.200000e-03,-3.162278e-02, 5.259000e+03
 5.200000e-03,-2.154435e-02, 1.522300e+04
 3.400000e-03,-1.467799e-02, 1.635100e+04
 4.200000e-03,-1.000000e-02, 8.250000e+03
 2.000000e-03, 1.000000e-02, 9.281000e+03
 6.000000e-04, 1.467799e-02, 3.339000e+03
 5.200000e-03, 2.154435e-02, 1.808500e+04
 8.000000e-04, 3.162278e-02, 3.606000e+03
 2.400000e-03, 4.641589e-02, 1.077000e+04
 1.600000e-03, 6.812921e-02, 9.299000e+03
 8.600000e-03, 1.000000e-01, 1.668400e+04
 6.000000e-04, 1.467799e-01, 1.549000e+03
 7.800000e-03, 2.154435e-01, 1.731500e+04
 4.200000e-03, 3.162278e-01, 8.924000e+03
 4.000000e-04, 4.641589e-01, 3.547000e+03
 6.000000e-03, 6.812921e-01, 1.589500e+04
 6.000000e-04, 1.000000e+00, 2.051000e+03
 1.200000e-03, 1.467799e+00, 9.038000e+03
 6.000000e-04, 2.154435e+00, 1.368000e+03
 6.000000e-04, 3.162278e+00, 4.085000e+03
 1.600000e-03, 4.641589e+00, 3.407000e+03
 3.600000e-03, 6.812921e+00, 5.501000e+03
 2.600000e-03, 1.000000e+01, 2.494000e+03
 2.000000e-03, 1.467799e+01, 1.343000e+03
 1.400000e-03, 2.154435e+01, 8.650000e+02
 1.400000e-03, 3.162278e+01, 4.950000e+02
 2.800000e-03, 4.641589e+01, 5.520000e+02
 2.400000e-03, 6.812921e+01, 4.100000e+02
 1.400000e-03, 1.000000e+02, 1.800000e+02
 2.500000e-02,-1.000000e+02, 4.830000e+02
 4.000000e-04,-6.812921e+01, 1.220000e+02
 2.400000e-03,-4.641589e+01, 5.210000e+02
 1.000000e-03,-3.162278e+01, 4.210000e+02
 1.360000e-02,-2.154435e+01, 1.944000e+03
 1.120000e-02,-1.467799e+01, 2.660000e+03
 3.800000e-03,-1.000000e+01, 2.202000e+03
 1.000000e-02,-6.812921e+00, 6.119000e+03
 1.400000e-03,-4.641589e+00, 6.668000e+03
 8.000000e-04,-3.162278e+00, 2.141000e+03
 4.000000e-04,-2.154435e+00, 9.300000e+02
 1.240000e-02,-1.467799e+00, 2.217700e+04
 1.800000e-03,-1.000000e+00, 1.071700e+04
 3.400000e-03,-6.812921e-01, 1.645700e+04
 6.000000e-04,-4.641589e-01, 5.598000e+03
 6.600000e-03,-3.162278e-01, 1.411200e+04
 6.000000e-04,-2.154435e-01, 2.462000e+03
 1.400000e-03,-1.467799e-01, 6.496000e+03
 6.800000e-03,-1.000000e-01, 1.013500e+04
 6.000000e-04,-6.812921e-02, 4.522000e+03
 1.400000e-03,-4.641589e-02, 1.685900e+04
 8.000000e-04,-3.162278e-02, 9.595000e+03
 2.400000e-03,-2.154435e-02, 1.012200e+04
 2.200000e-03,-1.467799e-02, 7.543000e+03
 7.000000e-03,-1.000000e-02, 2.704100e+04
 2.800000e-03, 1.000000e-02, 1.260100e+04
 1.800000e-03, 1.467799e-02, 9.849000e+03
 6.000000e-04, 2.154435e-02, 1.034000e+03
 8.000000e-04, 3.162278e-02, 3.908000e+03
 1.800000e-03, 4.641589e-02, 7.162000e+03
 2.060000e-02, 6.812921e-02, 2.332500e+04
 7.400000e-03, 1.000000e-01, 2.414400e+04
 3.400000e-03, 1.467799e-01, 9.999000e+03
 2.000000e-03, 2.154435e-01, 1.087600e+04
 6.000000e-04, 3.162278e-01, 2.141000e+03
 8.000000e-04, 4.641589e-01, 3.723000e+03
 1.000000e-03, 6.812921e-01, 6.184000e+03
 8.000000e-04, 1.000000e+00, 7.816000e+03
 2.600000e-03, 1.467799e+00, 1.139600e+04
 6.000000e-04, 2.154435e+00, 2.781000e+03
 4.000000e-04, 3.162278e+00, 1.836000e+03
 4.000000e-04, 4.641589e+00, 1.177000e+03
 6.000000e-04, 6.812921e+00, 1.217000e+03
 2.800000e-03, 1.000000e+01, 2.544000e+03
 1.800000e-03, 1.467799e+01, 1.204000e+03
 2.200000e-03, 2.154435e+01, 1.012000e+03
 8.000000e-04, 3.162278e+01, 4.290000e+02
 2.600000e-03, 4.641589e+01, 5.100000e+02
 6.000000e-04, 6.812921e+01, 1.470000e+02
 6.000000e-04, 1.000000e+02, 1.010000e+02
 3.400000e-03,-1.000000e+02, 2.980000e+02
 2.400000e-03,-6.812921e+01, 3.470000e+02
 1.600000e-03,-4.641589e+01, 4.410000e+02
 2.600000e-03,-3.162278e+01, 7.680000e+02
 1.200000e-02,-2.154435e+01, 1.941000e+03
 2.000000e-03,-1.467799e+01, 1.305000e+03
 4.000000e-04,-1.000000e+01, 6.080000e+02
 8.400000e-03,-6.812921e+00, 5.066000e+03
 3.800000e-03,-4.641589e+00, 6.265000e+03
 6.000000e-04,-3.162278e+00, 2.012000e+03
 1.200000e-03,-2.154435e+00, 9.094000e+03
 8.000000e-04,-1.467799e+00, 4.595000e+03
 1.800000e-03,-1.000000e+00, 8.382000e+03
 1.920000e-02,-6.812921e-01, 2.030800e+04
 4.000000e-04,-4.641589e-01, 6.232000e+03
 4.600000e-03,-3.162278e-01, 1.432600e+04
 3.000000e-03,-2.154435e-01, 1.399500e+04
 5.800000e-03,-1.467799e-01, 1.058400e+04
 2.200000e-03,-1.000000e-01, 1.181100e+04
 8.000000e-04,-6.812921e-02, 1.020000e+04
 4.000000e-04,-4.641589e-02, 7.570000e+02
 1.200000e-03,-3.162278e-02, 4.830000e+03
 8.000000e-04,-2.154435e-02, 8.689000e+03
 3.800000e-03,-1.467799e-02, 1.281700e+04
 1.160000e-02,-1.000000e-02, 1.280900e+04
 1.000000e-03, 1.000000e-02, 8.546000e+03
 4.000000e-04, 1.467799e-02, 2.913000e+03
 6.000000e-04, 2.154435e-02, 3.551000e+03
 4.000000e-04, 3.162278e-02, 1.428000e+03
 2.200000e-03, 4.641589e-02, 1.195400e+04
 1.000000e-02, 6.812921e-02, 1.567100e+04
 6.000000e-04, 1.000000e-01, 3.462000e+03
 2.000000e-03, 1.467799e-01, 6.182000e+03
 1.560000e-02, 2.154435e-01, 2.331300e+04
 4.000000e-04, 3.162278e-01, 1.008000e+03
 4.000000e-04, 4.641589e-01, 6.739000e+03
 5.400000e-03, 6.812921e-01, 8.764000e+03
 4.000000e-04, 1.000000e+00, 1.790000e+03
 2.200000e-03, 1.467799e+00, 9.881000e+03
 1.000000e-02, 2.154435e+00, 1.189800e+04
 2.400000e-03, 3.162278e+00, 9.374000e+03
 3.400000e-03, 4.641589e+00, 5.255000e+03
