Xl,gamma,al
     0.006050,  -100.000000,   392.000000
     0.005525,  -100.000000,  1006.000000
     0.006275,  -100.000000,   285.000000
     0.005550,  -100.000000,   193.000000
     0.006750,  -100.000000,    70.000000
     0.007125,  -100.000000,   311.000000
     0.007975,  -100.000000,   518.000000
     0.012875,  -100.000000,  1593.000000
     0.005200,  -100.000000,   361.000000
     0.005400,  -100.000000,   622.000000
     0.005500,  -100.000000,   523.000000
     0.007850,  -100.000000,    54.000000
     0.007125,  -100.000000,   176.000000
     0.008525,  -100.000000,   460.000000
     0.008800,  -100.000000,   148.000000
     0.006975,  -100.000000,    93.000000
     0.006075,  -100.000000,   806.000000
     0.013850,  -100.000000,   291.000000
     0.007325,  -100.000000,   130.000000
     0.005775,  -100.000000,   259.000000
     0.007525,  -100.000000,   901.000000
     0.008375,  -100.000000,    89.000000
     0.011025,  -100.000000,   180.000000
     0.006275,  -100.000000,    43.000000
     0.011025,  -100.000000,   514.000000
     0.007375,  -100.000000,   925.000000
     0.008525,  -100.000000,  1237.000000
     0.007150,  -100.000000,   268.000000
     0.008250,  -100.000000,   310.000000
     0.005950,  -100.000000,   113.000000
     0.008450,  -100.000000,    73.000000
     0.009475,  -100.000000,   472.000000
     0.005550,  -100.000000,   542.000000
     0.014550,  -100.000000,   413.000000
     0.006150,  -100.000000,   191.000000
     0.008075,  -100.000000,  1277.000000
     0.012525,  -100.000000,   362.000000
     0.007350,  -100.000000,   318.000000
     0.006100,  -100.000000,    89.000000
     0.005075,  -100.000000,   138.000000
     0.005700,  -100.000000,   947.000000
     0.005600,  -100.000000,   247.000000
     0.012450,  -100.000000,   265.000000
     0.007800,  -100.000000,   191.000000
     0.006475,  -100.000000,   362.000000
     0.010300,  -100.000000,   550.000000
     0.005350,  -100.000000,   440.000000
     0.006700,  -100.000000,   302.000000
     0.008950,  -100.000000,   247.000000
     0.011225,  -100.000000,   454.000000
     0.006650,  -100.000000,   178.000000
     0.009125,  -100.000000,   831.000000
     0.008575,  -100.000000,  1323.000000
     0.018200,  -100.000000,  1852.000000
     0.008425,  -100.000000,   110.000000
     0.006000,  -100.000000,   249.000000
     0.006250,  -100.000000,   140.000000
     0.006925,  -100.000000,    50.000000
     0.005800,  -100.000000,   904.000000
     0.011975,  -100.000000,   466.000000
     0.006575,  -100.000000,   492.000000
     0.010300,  -100.000000,   155.000000
     0.005800,  -100.000000,   360.000000
     0.006450,  -100.000000,    69.000000
     0.006625,  -100.000000,    72.000000
     0.010075,  -100.000000,    99.000000
     0.005200,  -100.000000,   176.000000
     0.011150,  -100.000000,   690.000000
     0.018950,  -100.000000,   734.000000
     0.008975,  -100.000000,   688.000000
     0.006300,  -100.000000,   407.000000
     0.006450,  -100.000000,   235.000000
     0.005825,  -100.000000,   718.000000
     0.007075,  -100.000000,   437.000000
     0.014925,  -100.000000,   195.000000
     0.007300,  -100.000000,    47.000000
     0.005475,  -100.000000,    82.000000
     0.007975,  -100.000000,   232.000000
     0.006875,  -100.000000,   855.000000
     0.005975,  -100.000000,   354.000000
     0.005375,  -100.000000,   543.000000
     0.005600,  -100.000000,   410.000000
     0.013325,  -100.000000,   258.000000
     0.005775,  -100.000000,   698.000000
     0.010275,  -100.000000,   164.000000
     0.009200,  -100.000000,   155.000000
     0.010100,  -100.000000,   243.000000
     0.005875,  -100.000000,   128.000000
     0.005225,  -100.000000,   121.000000
     0.005650,  -100.000000,   307.000000
     0.005400,  -100.000000,   299.000000
     0.008950,  -100.000000,   348.000000
     0.010075,  -100.000000,   237.000000
     0.005125,  -100.000000,   627.000000
     0.015325,  -100.000000,    88.000000
     0.007775,  -100.000000,   287.000000
     0.006525,  -100.000000,  1549.000000
     0.005600,  -100.000000,   333.000000
     0.006475,  -100.000000,   575.000000
     0.005550,  -100.000000,   158.000000
     0.005400,  -100.000000,    31.000000
     0.005625,  -100.000000,   132.000000
     0.011375,  -100.000000,   286.000000
     0.010150,  -100.000000,   265.000000
     0.005200,  -100.000000,  1520.000000
     0.007450,  -100.000000,   215.000000
     0.008225,  -100.000000,    98.000000
     0.005175,  -100.000000,   399.000000
     0.008700,  -100.000000,   234.000000
     0.007875,  -100.000000,   718.000000
     0.009475,  -100.000000,   135.000000
     0.007500,  -100.000000,    64.000000
     0.005750,  -100.000000,   192.000000
     0.006900,  -100.000000,   374.000000
     0.017200,  -100.000000,   374.000000
     0.005100,  -100.000000,   200.000000
     0.016125,  -100.000000,   722.000000
     0.005125,  -100.000000,   204.000000
     0.008925,  -100.000000,   243.000000
     0.009575,  -100.000000,  1389.000000
     0.012800,  -100.000000,   293.000000
     0.006375,  -100.000000,   269.000000
     0.006825,  -100.000000,   233.000000
     0.009425,  -100.000000,   226.000000
     0.007750,  -100.000000,   494.000000
     0.009400,  -100.000000,   169.000000
     0.007100,  -100.000000,  1276.000000
     0.009975,  -100.000000,   326.000000
     0.005650,  -100.000000,  1161.000000
     0.008725,  -100.000000,   553.000000
     0.008550,  -100.000000,   694.000000
     0.005275,  -100.000000,   331.000000
     0.007650,  -100.000000,   850.000000
     0.010350,  -100.000000,   507.000000
     0.007650,  -100.000000,   908.000000
     0.006775,  -100.000000,   350.000000
     0.005775,  -100.000000,   102.000000
     0.005475,  -100.000000,   446.000000
     0.006100,  -100.000000,   110.000000
     0.007300,  -100.000000,   126.000000
     0.006575,  -100.000000,   203.000000
     0.005400,  -100.000000,    75.000000
     0.008875,  -100.000000,   527.000000
     0.005950,  -100.000000,   358.000000
     0.005850,  -100.000000,   464.000000
     0.005875,  -100.000000,   325.000000
     0.007025,  -100.000000,  1524.000000
     0.006450,  -100.000000,   208.000000
     0.006375,  -100.000000,   328.000000
     0.006600,  -100.000000,   549.000000
     0.007075,  -100.000000,   198.000000
     0.007000,  -100.000000,   323.000000
     0.006500,  -100.000000,   104.000000
     0.010250,  -100.000000,   303.000000
     0.005825,  -100.000000,   313.000000
     0.007050,  -100.000000,   739.000000
     0.006875,  -100.000000,   836.000000
     0.006325,  -100.000000,   617.000000
     0.005400,  -100.000000,   113.000000
     0.005275,  -100.000000,    32.000000
