Xl,gamma,al,exp.al,all.age
 4.000000e-04,-1.000000e+02, 6.000000e+00, 1.394566e+01, 1.000000e+00
 4.000000e-04,-1.000000e+02, 1.400000e+01, 1.394566e+01, 1.000000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 3.000000e+00, 1.102226e+01, 1.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 7.300000e+01, 1.102226e+01, 4.000000e+00
 6.500000e-03,-1.000000e+02, 4.100000e+01, 9.313228e+01, 6.000000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 7.000000e-04,-1.000000e+02, 3.000000e+00, 2.154790e+01, 1.000000e+00
 2.500000e-03,-1.000000e+02, 1.000000e+01, 5.243599e+01, 8.000000e+00
 1.100000e-02,-1.000000e+02, 6.300000e+01, 1.232472e+02, 2.120000e+02
 3.200000e-03,-1.000000e+02, 2.900000e+01, 6.130809e+01, 4.100000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 2.200000e-03,-1.000000e+02, 1.600000e+01, 4.825687e+01, 2.700000e+01
 5.500000e-03,-1.000000e+02, 1.700000e+01, 8.474321e+01, 1.850000e+02
 5.000000e-04,-1.000000e+02, 1.000000e+00, 1.664434e+01, 7.000000e+00
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 5.000000e+00
 4.000000e-04,-1.000000e+02, 1.000000e+00, 1.394566e+01, 1.000000e+00
 3.000000e-03,-1.000000e+02, 3.500000e+01, 5.888381e+01, 1.600000e+01
 8.000000e-04,-1.000000e+02, 2.900000e+01, 2.380789e+01, 3.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.600000e-03,-1.000000e+02, 7.000000e+00, 3.899722e+01, 5.300000e+01
 3.000000e-04,-1.000000e+02, 9.000000e+00, 1.102226e+01, 3.000000e+00
 1.800000e-03,-1.000000e+02, 7.000000e+00, 4.223724e+01, 1.900000e+01
 3.600000e-03,-1.000000e+02, 1.590000e+02, 6.592917e+01, 1.700000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.300000e-03,-1.000000e+02, 2.000000e+00, 3.378170e+01, 7.300000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 3.000000e+00, 1.102226e+01, 7.000000e+00
 7.200000e-03,-1.000000e+02, 2.200000e+01, 9.854634e+01, 2.500000e+01
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 2.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 2.500000e-03,-1.000000e+02, 5.500000e+01, 5.243599e+01, 1.430000e+02
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.300000e-03,-1.000000e+02, 5.000000e+00, 3.378170e+01, 1.900000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 8.600000e-03,-1.000000e+02, 1.020000e+02, 1.084571e+02, 3.100000e+01
 7.000000e-04,-1.000000e+02, 1.290000e+02, 2.154790e+01, 2.000000e+00
 1.000000e-03,-1.000000e+02, 4.000000e+00, 2.803083e+01, 3.000000e+00
 4.000000e-04,-1.000000e+02, 2.000000e+00, 1.394566e+01, 3.000000e+00
 2.800000e-03,-1.000000e+02, 8.000000e+01, 5.637502e+01, 4.200000e+01
 1.000000e-03,-1.000000e+02, 7.000000e+00, 2.803083e+01, 2.900000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 7.000000e-04,-1.000000e+02, 6.900000e+01, 2.154790e+01, 1.000000e+00
 7.000000e-04,-1.000000e+02, 7.000000e+00, 2.154790e+01, 4.000000e+00
 3.600000e-03,-1.000000e+02, 7.000000e+00, 6.592917e+01, 8.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 2.000000e+00
 4.000000e-04,-1.000000e+02, 3.000000e+00, 1.394566e+01, 2.000000e+00
 5.000000e-04,-1.000000e+02, 3.000000e+01, 1.664434e+01, 5.000000e+00
 4.000000e-04,-1.000000e+02, 3.000000e+00, 1.394566e+01, 1.000000e+00
 7.000000e-04,-1.000000e+02, 5.000000e+00, 2.154790e+01, 1.000000e+00
 4.800000e-03,-1.000000e+02, 1.800000e+01, 7.831867e+01, 2.000000e+01
 9.000000e-04,-1.000000e+02, 2.100000e+01, 2.596453e+01, 3.800000e+01
 4.000000e-04,-1.000000e+02, 1.800000e+01, 1.394566e+01, 1.000000e+00
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 1.000000e+00
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 1.000000e+00
 3.600000e-03,-1.000000e+02, 2.800000e+01, 6.592917e+01, 8.000000e+00
 1.700000e-03,-1.000000e+02, 2.160000e+02, 4.063861e+01, 4.000000e+00
 2.600000e-03,-1.000000e+02, 9.000000e+00, 5.377393e+01, 2.240000e+02
 3.000000e-04,-1.000000e+02, 7.000000e+00, 1.102226e+01, 1.000000e+00
 1.100000e-03,-1.000000e+02, 6.000000e+00, 3.001712e+01, 1.800000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 3.000000e+00
 2.900000e-02,-1.000000e+02, 2.590000e+02, 1.931098e+02, 2.340000e+02
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 3.000000e-04,-1.000000e+02, 7.800000e+01, 1.102226e+01, 4.200000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 2.700000e-03,-1.000000e+02, 3.200000e+01, 5.508654e+01, 3.300000e+01
 4.000000e-04,-1.000000e+02, 8.000000e+00, 1.394566e+01, 9.000000e+00
 2.500000e-03,-1.000000e+02, 3.260000e+02, 5.243599e+01, 1.700000e+01
 3.000000e-04,-1.000000e+02, 1.000000e+00, 1.102226e+01, 1.000000e+00
 1.800000e-03,-1.000000e+02, 2.700000e+01, 4.223724e+01, 1.800000e+01
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 9.000000e-04,-1.000000e+02, 8.200000e+01, 2.596453e+01, 3.000000e+00
 9.000000e-04,-1.000000e+02, 1.000000e+01, 2.596453e+01, 3.700000e+01
 4.000000e-04,-1.000000e+02, 3.000000e+00, 1.394566e+01, 2.000000e+00
 8.000000e-04,-1.000000e+02, 1.000000e+01, 2.380789e+01, 2.000000e+00
 7.000000e-04,-1.000000e+02, 9.000000e+00, 2.154790e+01, 3.000000e+00
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 1.000000e-04,-1.000000e+02, 1.000000e+00, 4.068239e+00, 0.000000e+00
 7.100000e-03,-1.000000e+02, 4.600000e+01, 9.779347e+01, 2.100000e+01
 5.400000e-03,-1.000000e+02, 2.200000e+01, 8.385582e+01, 8.300000e+01
 2.000000e-04,-1.000000e+02, 1.000000e+00, 7.789654e+00, 0.000000e+00
 7.000000e-04,-1.000000e+02, 3.000000e+00, 2.154790e+01, 2.400000e+01
 1.300000e-03,-1.000000e+02, 1.700000e+01, 3.378170e+01, 6.000000e+00
